path,role,summary,classes,functions,imports,ros_topics,lines,bytes,sha256
mpc_solarcar/gps_sim_node.py,ROS 2 runtime node,,GPSSimNode,main,"pandas, path_utils, rclpy, rclpy.node, route_utils, sensor_msgs.msg, solar_profile, std_msgs.msg","/planner/speed_cmd, /sim/gps",51,2022,436c6e1e726b4e3c6443abc17a07d1f310ebec701f5577a15383b92e6570a591
mpc_solarcar/grade_node.py,ROS 2 runtime node,,GradeNode,main,"math, rclpy, rclpy.node, sensor_msgs.msg, std_msgs.msg, time","/vehicle/grade, /vehicle/s_km, /vehicle/speed_kmh",96,3581,f67e3de2b8032378bb2cac9882ed85cd35629cc2dab61ee2f0ae17f7626d3131
mpc_solarcar/live_launch.py,runtime library/model,,,"cfg_path, _drop_keys, live_forecast_paths, build_live_nodes","__future__, launch_ros.actions, pathlib, shutil, solar_profile",,170,8014,759278a53fc55f3c41b6ca6ec99c541c9e5203ec77425516fd1d2409ff9ba438
mpc_solarcar/logger_node.py,ROS 2 runtime node,,LoggerNode,main,"csv, datetime, math, os, rclpy, rclpy.node, std_msgs.msg","/planner/speed_cmd, /planner/status, /planner/throttle_cmd_pct, /system/can_profile, /system/config, /system/diag, /system/health, /system/mpc_state, /system/pid_profile, /system/state, /vehicle/batt_current_a, /vehicle/batt_soc, /vehicle/batt_temp_c, /vehicle/batt_voltage_v, /vehicle/fuel_rate_lph, /vehicle/grade, /vehicle/idle_fuel_lph, /vehicle/maf_gps, /vehicle/obd_ok, /vehicle/rpm, /vehicle/s_km, /vehicle/speed_kmh, /vehicle/throttle_pct",162,6461,f7bf544fbf10b33dc14269e1ebe2722d5b5815a6f41a05cd8d4c366af142dec6
mpc_solarcar/magnet_field_viewer.py,runtime library/model,,"MagnetParams, MagnetFieldViewer","gauss_legendre_rule, carlson_rf_positive_real, carlson_rd_positive_real, complete_elliptic_k_e, loop_field_cylindrical, cylinder_field_cylindrical, cylinder_field_cartesian, observation_grid, slice_grid, axis_field_closed_form, estimate_axis_error, sample_field_distribution, main","dataclasses, functools, math, matplotlib, matplotlib.backends.backend_tkagg, matplotlib.figure, matplotlib.patches, mpl_toolkits.mplot3d.art3d, numpy, time, tkinter",,603,22664,3a72325b32878c9e07a166bf510f8876c155d1bcbdf5ac822490d30c6a4f73c3
mpc_solarcar/magnetic_coupler_cad.py,runtime library/model,,"CasingParameters, PartPackage","mm, setup_plot_style, load_selected_design, sample_ring_sites, face_from_profiles, make_box_cut, make_cylinder_cut, combine_solids, ring_hole_sites, rectangle_corners, build_inner_base, build_outer_base, build_lid, build_assemblies, export_part, export_svg_views, bounds_mm, add_horizontal_dimension, add_vertical_dimension, draw_ring_top_view, draw_single_ring_section, set_3d_equal, plot_wireframe_ring, draw_assembly_section, add_text_block, build_text_lines, make_page_figure, save_page, render_isometric_screenshot, generate_drawing_package, write_notes, write_package_summary, parse_args, main","argparse, cadquery, dataclasses, json, math, matplotlib, matplotlib.backends.backend_pdf, matplotlib.patches, matplotlib.pyplot, mpc_solarcar, numpy, pathlib, sys",,1138,48016,838e337cfb309ff87167eb7a0334ec583345b1393bb3a9aa2131d70db1f9c51f
mpc_solarcar/magnetic_coupler_dashboard.py,runtime library/model,,MagneticDashboardHandler,"resolve_static_dir, parse_args, is_run_directory, safe_relative_to, list_run_dirs, read_json, coerce_csv_scalar, read_csv_rows, pick_existing, as_float, summarize_run, default_run_name, resolve_run_dir, media_type_for_path, collect_media_artifacts, infer_search_method, build_state_payload, main","argparse, collections, csv, functools, http.server, json, mimetypes, pathlib, threading, time, urllib.parse, webbrowser",,509,20160,33f0600bbf08dbe9ebca1ce173704196c4567412dec8ede133a2c43e1d7d961e
mpc_solarcar/magnetic_coupler_freearray_fixedheight.py,runtime library/model,,"FreeArrayDesign, FreeArrayAssembly, ExactPoseSample, StaticAssessment, LinearRestoreAssessment, ScenarioSegment, FixedHeightScenario, UncertaintyEnvironment, DynamicOutcome","serializable_array, bounded_logit, design_to_dict, design_from_dict, static_assessment_to_dict, linear_restore_assessment_to_dict, outcome_to_dict, write_json_atomic, copy_artifact_atomic, static_constraint_violation_proxy, static_feasible_proxy, design_monitor_summary, smooth_positive_gaps, mirrored_ring_parameters, latent_dimension, latent_variable_manifest, write_latent_variable_manifest, equispaced_half_angles, wrap_half_difference, infer_ring_latent_components, latent_from_design, build_design_from_latent, ring_points_from_polar, points_in_polygon, closest_point_pairs, nested_polygon_signed_gap, estimate_nested_limit, build_support_geometry, moment_directions_from_angles, layer_z_centers, cylinder_object, build_assembly, freearray_pole_face_area_m2, freearray_per_magnet_force_cap_n, freearray_array_force_cap_n, freearray_array_torque_cap_nm, freearray_gap_decay_factor, transform_outer_ring, evaluate_pose_exact, generalized_response, estimate_stiffness_matrices, scaled_generalized_restoring_wrench, zero_intercept_linearity, default_linear_restore_directions, package_violation_m, assess_static_design, assess_linear_restore_objective, build_nominal_environment, sample_environment, build_avoid_return_scenario, build_straight_lateral_pulse_scenario, scenario_arrays, body_to_world, rigid_box_world_points, corridor_margin_and_breach_mm, wrap_difference, apply_cart_axis_stiction, settle_nonpenetration_exact, simulate_fixedheight_episode, candidate_priority, evaluate_dynamic_suite, optimize_case, plot_design_layout, plot_field_map, plot_dynamic_history, render_candidate_artifacts, report_tables, scenario_description_lines, build_report_markdown, build_report_tex, compile_report_pdf, run_fixedheight_freearray_search","dataclasses, json, math, matplotlib, matplotlib.pyplot, mpc_solarcar, numpy, pandas, pathlib, shutil, sys, time",,3489,171521,137ddc5ccbbb4801e2b1224cc2f968a87dab62d4fb40718d8e67125d6fb6f148
mpc_solarcar/magnetic_coupler_freearray_video.py,runtime library/model,,,"try_load_font, rotmat, body_box_points, transform_points, make_world_mapper, draw_closed_polyline, draw_polygon, draw_points, draw_arrow, draw_badge, history_row, history_bounds, draw_corridor_scene, coupling_zoom_bounds, render_frame, render_fixedheight_corridor_video","PIL, __future__, imageio.v2, math, mpc_solarcar, numpy, pathlib",,426,19276,f4e90a9dce270751ded17b2d767de093afb6e7b2b1b444c05ff648fc0bebf8d8
mpc_solarcar/magnetic_coupler_hifi.py,runtime library/model,,"ShapeParameters, HifiDesign, HeightPolicy, ArrayModel, PoseSample, StaticAssessment, DynamicOutcome, EpisodeEnvironment","signed, live_monitor_enabled, set_live_monitor_dir, to_live_json, update_live_monitor_state, publish_live_history_csv, append_live_history_rows, reset_live_monitor_outputs, design_candidate_trace_row, policy_candidate_trace_row, live_visual_summary_lines, plot_live_shape_and_magnets, plot_live_field_distribution, publish_live_candidate_visuals, launch_live_dashboard_process, fit_line, aspect_axes, flex_harmonic_vector, local_feature_vector, periodic_gaussian, polygon_centroid, chaikin_closed, resample_closed_polyline, flexible_radius_profile, shape_name, build_flexible_geometry, build_arrow_geometry, build_geometry_from_shape, choose_catalog_sku, resolve_catalog, choose_catalog_sku_from_list, design_variable_manifest, design_variable_count, write_design_variable_manifest, boundary_from_points, disk_surface_field_to_remanence_t, effective_flux_density_t, pole_face_area_m2, per_magnet_force_cap_n, array_level_force_cap_n, array_level_torque_cap_nm, dipole_softening_length_m, gap_decay_factor, sample_ring_sites, cuboid_dipole_cloud, cylindrical_dipole_cloud, build_design_from_latent, build_array_model, transform_outer_array, dipole_force_torque_energy, evaluate_pose, assess_static_design, static_primary_merit, static_constraint_values, static_objective_vector, structured_candidate_payload, candidate_priority_key, archive_payload_priority_key, candidate_is_better, pareto_dominates, update_pareto_archive, evaluate_design_candidate, evaluate_design_candidate_quick, evaluate_design_candidate_validation, latent_signature, update_candidate_archive, archive_to_dataframe, refine_design_archive_validation, optimize_design_cem, optimize_design_cmaes, optimize_design, build_policy_from_latent, build_operator_intent_scenario, cart_inertia_kgm2, robot_inertia_kgm2, filter_training_scenarios, filter_validation_scenarios, nominal_episode_environment, sample_episode_environment, build_episode_environments, apply_environment_pose_bias, contact_point_velocity, follower_and_damping_params, smooth_coulomb_component, cart_passive_force_world, cart_passive_alignment_torque, robot_cruise_force_world, project_contact_state, settle_nonpenetration, simulate_dynamic_episode, evaluate_policy_candidate, optimize_policy, refine_gap_after_policy, report_dynamic_dataframe, plot_design_convergence, plot_policy_convergence, plot_force_polar, plot_force_curves, planar_response_map, plot_planar_response_maps, plot_dynamic_rollout, plot_field_distribution, dipole_field, magpylib_rotation_from_moment, magpylib_magnet_from_pose, magpylib_pose_force_torque, write_magpylib_crosscheck, write_catalog_snapshot, write_scenario_input_profiles, write_optimizer_literature_note, write_summary, parse_args, main","argparse, csv, dataclasses, hashlib, json, math, matplotlib, matplotlib.pyplot, mpc_solarcar, numpy, pandas, pathlib, subprocess, sys, threading, time",,5419,253882,b1ef60c68813171c25c8896d0fa6b60930f898714b2d0bd0be5df7a4fce443f4
mpc_solarcar/magnetic_coupler_interactive_sim.py,runtime library/model,,"KeyboardVectors, SimState, PedestrianState, CorridorScenarioMetrics, InteractiveCouplerCore, CorridorPedestrianAvoidanceScenario, InteractiveCouplerApp","angle_wrap, clamp, clamp_norm, normalized_or_default, bounded_force_from_command, rotmat, transform_points, resolve_default_result_json, load_selected_model, run_headless_smoke, write_history_csv, run_corridor_pedestrian_avoidance, run_stability_suite, parse_args, main","argparse, csv, dataclasses, json, math, mpc_solarcar, numpy, pathlib, time, tkinter",,1090,51595,26b1809db548edcf25f09bfae609fdbbe03c48fe1a4968ade28d674b4ba312ac
mpc_solarcar/magnetic_coupler_manual_inner_gui.py,runtime library/model,,"KeyboardState, SimState, ManualInnerCouplerCore, ManualInnerCouplerApp","clamp, angle_wrap, clamp_norm, rotmat, transform_points, normalized_command_2d, resolve_default_result_json, load_assembly, evaluate_pose_linearized, project_outer_only_nonpenetration, settle_nonpenetration_outer_only, local_body_box, run_headless_smoke, parse_args, main","argparse, dataclasses, json, math, mpc_solarcar, numpy, pathlib, sys, time, tkinter",,869,35932,3f06eac0afee360d70c0ee100b76e9f57b1356f613877e5833749fe7f50b062a
mpc_solarcar/magnetic_coupler_rl.py,runtime library/model,,"MagnetSKU, Design, Policy, Scenario, Geometry, CouplingSample, EpisodeResult","sigmoid, clamp, clamp_norm, rotmat, cross2, cross2_batch, wrap_angle, periodic_centered_unit, mean_phase_fraction, superellipse_radius, polygon_radius, shape_radius_profile, boundary_from_radius_profile, build_geometry, soft_support_gap_profile, sat_signed_gap_profile, estimate_translation_limit_m, estimate_yaw_limit_rad, magnet_coverage_profile, discrete_array_modulation, evaluate_coupling, cart_inertia_kgm2, robot_inertia_kgm2, build_scenario, build_training_suite, build_validation_suite, simulate_episode, choose_catalog_sku, signed, materialize_design, evaluate_candidate, optimize_shape, validate_design, report_dataframe, plot_convergence, plot_rollout, write_catalog, write_summary, parse_args, main","argparse, dataclasses, json, math, matplotlib, matplotlib.pyplot, numpy, pandas, pathlib",,1671,70300,633378d9b7a4cfb065cf64d73f1ba3baa4f7fd02535f5673be76ce41142dcf09
mpc_solarcar/model.py,runtime library/model,,"Params, SolarCarModel",_is_symbolic,"dataclasses, math, numpy, utils_maps",,478,20449,91a29cea04d184a73105566c514d824c8259be3a801df05ddfd82af7e8c863c1
mpc_solarcar/mpc_node.py,ROS 2 runtime node,,MPCNode,main,"collections, datetime, estimator, forecast_grid, geometry_msgs.msg, math, model, nav_msgs.msg, numpy, os, pandas, path_utils, rclpy, rclpy.callback_groups, rclpy.executors, rclpy.node, rclpy.parameter, route_utils, schedule_utils, scipy.optimize, signal_utils, std_msgs.msg, time, upper_cost, upper_horizon, upper_policy, upper_solver, yaml","/calib/aux_power_w, /calib/drive_power_gain, /calib/solar_gain, /planner/drive_mode, /planner/env, /planner/lower_plan, /planner/metrics, /planner/speed_cmd, /planner/status, /planner/throttle_cmd_pct, /planner/trajectory, /planner/upper_plan, /planner/upper_speed_cmd, /system/config, /system/config_ready, /system/mpc_state, /system/state, /vehicle/batt_current_a, /vehicle/batt_soc, /vehicle/batt_temp_c, /vehicle/batt_voltage_v, /vehicle/fuel_rate_lph, /vehicle/grade, /vehicle/idle_fuel_lph, /vehicle/obd_ok, /vehicle/s_km, /vehicle/speed_kmh, /vehicle/throttle_pct",2931,142040,b53f3e7fb5395b2459091b740042c9da8789ea7a44648c2235ab8b62d544f231
mpc_solarcar/panel_node.py,ROS 2 runtime node,,PanelNode,main,"collections, math, matplotlib.pyplot, nav_msgs.msg, os, rclpy, rclpy.node, sensor_msgs.msg, std_msgs.msg, threading, time","/planner/speed_cmd, /planner/status, /planner/throttle_cmd_pct, /planner/trajectory, /sim/gps, /system/diag, /system/state, /vehicle/grade, /vehicle/idle_fuel_lph",130,6780,74b80f7658fd1b13c9adc4572a70fe8e75caecfe6e4755b725a66ad834375300
mpc_solarcar/path_utils.py,runtime library/model,,,resolve_path,"os, pathlib",,38,1241,d2c07f2ccc796bf8d8d6149135b27123c8ecd873bc0b71c344028714a52c2a3b
mpc_solarcar/preflight_node.py,ROS 2 runtime node,,PreflightNode,main,"can, os, rclpy, rclpy.node, rclpy.parameter, rclpy.parameter_client, std_msgs.msg, subprocess, time, typing","/system/can_profile, /system/config_ready, /system/config_required, /system/diag, /system/health, /system/mpc_state, /system/pid_profile, /system/state, /vehicle/obd_ok",327,12756,424f3b34f7d10c17027a75a1239271ce9de84a850597842d8ae3364237bb87af
mpc_solarcar/route_utils.py,runtime library/model,,,"_interp_field, interpolate_route, interpolate_route_with_alt, interpolate_profile, average_profile, average_profile_segments, interpolate_route_heading","math, numpy, pandas",,140,5471,d5b33c359b666eed1eac0400ebfdf110c5360df3369b7725689127955039b9e8
mpc_solarcar/schedule_utils.py,runtime library/model,,"DriveWindow, DailyWindow, DriveSchedule","_parse_utc, _parse_time_hhmm","dataclasses, datetime, os, typing, yaml",,218,8038,cbee1ac8328f818f44fcb29d10b587c42a5518ed64baad447267afab149e685a
mpc_solarcar/signal_utils.py,runtime library/model,,"RobustScalarFilter, SmoothRateLimiter","finite_float, fresh_enough, slew_limit","__future__, math, time",,156,5709,bb662b23b2754162e56b3e22b75b6ee8ccc00ccca7980e9d23be9108c7d77ab0
mpc_solarcar/solar_autocal_logic.py,runtime library/model,Pure helpers for bounded online solar-car calibration.,,daytime_stationary_aux_estimate,"__future__, math",,25,701,8b67ee6b969cf6d5ee2520b0e3b06ac902a4bbfd00a7684c10d8cc4bb1015529
mpc_solarcar/solar_autocal_node.py,ROS 2 runtime node,,SolarAutocalNode,"_clamp, main","__future__, math, rclpy, rclpy.node, solar_autocal_logic, std_msgs.msg","/calib/aux_power_w, /calib/drive_power_gain, /calib/solar_gain, /calib/status, /planner/env, /planner/metrics, /vehicle/batt_current_a, /vehicle/batt_voltage_v, /vehicle/solar_power_w, /vehicle/speed_kmh",159,7058,a98336e789670e85549bcedbb19c1a90b49d293dba6f193a6d91c053ef9abc51
mpc_solarcar/solar_logger_node.py,ROS 2 runtime node,,SolarLoggerNode,main,"csv, datetime, math, os, rclpy, rclpy.node, std_msgs.msg",,200,7439,6ad5861c795593dc8a6cbd661335f2d379ddf42987433a40f1805c49884b5e2e
mpc_solarcar/solar_preflight_logic.py,runtime library/model,,FreshnessResult,evaluate_freshness,"__future__, dataclasses",,35,1002,af31754717ea091338d123f2fb17650fda49d53f9308d9f9aaccef7f9c9d03fd
mpc_solarcar/solar_preflight_node.py,ROS 2 runtime node,,SolarPreflightNode,main,"__future__, rclpy, rclpy.node, solar_preflight_logic, std_msgs.msg, time","/planner/status, /system/diag, /system/health, /system/state, /vehicle/batt_current_a, /vehicle/batt_soc, /vehicle/batt_voltage_v, /vehicle/s_km, /vehicle/speed_kmh",90,3358,d1c39ce9b2c8e60006ec42892c09b8ede984748d44555a5f330607b92aa5a4d9
mpc_solarcar/solar_profile.py,runtime library/model,,,"require_csv_data_rows, _resolve_profile_path, resolve_relative_path, load_profile, merged_dict, get_section, get_path","__future__, copy, csv, pathlib, typing, yaml",,119,3900,342c5f001c7ae09a4ccfafe19e30706d124ac8b044852c365ca03ee664af00e7
mpc_solarcar/solar_state_node.py,ROS 2 runtime node,,SolarStateNode,main,"__future__, datetime, math, model, numpy, pandas, path_utils, rclpy, rclpy.node, route_utils, schedule_utils, signal_utils, solar_profile, std_msgs.msg, time","/planner/speed_cmd, /vehicle/altitude_m, /vehicle/batt_current_a, /vehicle/batt_soc, /vehicle/batt_temp_c, /vehicle/batt_voltage_v, /vehicle/s_km, /vehicle/solar_power_w, /vehicle/speed_kmh",271,14401,d9c72bcecf7b5d6f0594d4c9029ba3837a9f3b0222e47e693729d581d99e4024
mpc_solarcar/speed_command_bridge_node.py,ROS 2 runtime node,,SpeedCommandBridgeNode,main,"__future__, json, rclpy, rclpy.node, signal_utils, socket, std_msgs.msg, telemetry_protocol, time","/planner/drive_mode, /planner/speed_cmd, /planner/upper_speed_cmd",128,6076,c4212c78afb5c4a54bff02cc12d8ed80236ea8c67c8bd1defebe1c8e02652f2b
mpc_solarcar/telemetry_protocol.py,runtime library/model,Timestamp validation shared by the WiFi telemetry receiver and tests.,TimestampValidation,"parse_source_timestamp, validate_source_timestamp, utc_iso_now","__future__, dataclasses, datetime, math",,77,2644,734975b041ac6daaa034baccff9bd92eda981e9b6f6284852dbfb089bc4b6307
mpc_solarcar/telemetry_text_bridge_node.py,ROS 2 runtime node,,TelemetryTextBridgeNode,"_safe_float, _parse_key_value_text, parse_text_payload, headwind_component_ms, main","__future__, json, math, rclpy, rclpy.node, sensor_msgs.msg, signal_utils, socket, statistics, std_msgs.msg, telemetry_protocol, time","/chase/altitude_m, /chase/gps, /planner/drive_mode, /planner/speed_cmd, /planner/upper_speed_cmd, /telemetry/bridge_status, /telemetry/chase_source_ts_unix, /telemetry/raw_chase, /telemetry/raw_solar, /telemetry/solar_source_ts_unix, /vehicle/altitude_m, /vehicle/batt_current_a, /vehicle/batt_soc, /vehicle/batt_temp_c, /vehicle/batt_voltage_v, /vehicle/gps, /vehicle/s_km, /vehicle/solar_power_w, /vehicle/speed_kmh, /weather/course_deg, /weather/headwind_meas_ms, /weather/wind_dir_deg, /weather/wind_speed_ms",355,17681,8eb8c10611ec3d5115db88a38834178bead9b3c8ef68d952df090bc4fe2c6aa9
mpc_solarcar/throttle_advisory_node.py,ROS 2 runtime node,,ThrottleAdvisoryNode,main,"math, rclpy, rclpy.node, std_msgs.msg, time, yaml","/planner/speed_cmd, /planner/throttle_cmd_pct, /system/config, /vehicle/obd_ok, /vehicle/speed_kmh, /vehicle/throttle_pct",100,3580,af8b92d082b496c3c1d4a9c89e178881a5337bda368b3e1d652425df300fbe19
mpc_solarcar/upper_cost.py,runtime library/model,,UpperCostConfig,"_cfg_value, load_upper_cost_config, quad_penalty, upper_stage_cost, upper_terminal_cost, active_upper_cost_terms","__future__, dataclasses, typing",,289,11307,b69065249298ad089d085bcb06d9277c10dae6b61ec0d334d69a13ffef56a3bb
mpc_solarcar/upper_horizon.py,runtime library/model,,UpperDistanceHorizon,"_weighted_extra, _adaptive_ds_sequence, build_upper_distance_horizon, plan_segment_index","__future__, dataclasses, math, numpy, typing",,146,5148,1565f2a9907d31550fd0ee8a54d65bfc840b33c804a95b2c0d24ca9d232baa01
mpc_solarcar/upper_policy.py,runtime library/model,,,"load_upper_policy_csv, interpolate_upper_policy","__future__, numpy, pandas, pathlib",,50,2097,2d40e88dbe8169edae0bc815ed06b077d5866e94f874230f1967c7bf7bfe2425
mpc_solarcar/upper_solver.py,runtime library/model,,,"_fork_finite_cost, clip_to_bounds, finite_cost, default_seed_library, hybrid_bounded_minimize","__future__, concurrent.futures, itertools, multiprocessing, numpy, os, scipy.optimize, typing",,474,21120,0ea0437c48c25f839a8edbfffe74f8d613a11451728eb7751db21756dd76be2a
mpc_solarcar/utils_maps.py,runtime library/model,,,"bilinear_interp, read_eff_map, read_Rint_map, read_map, read_1d_map","numpy, pandas",,34,1387,8f20256838a7d95f7822b415af3cfe2af3433813af7bf760eb9f84d9f8e9f9d3
mpc_solarcar/weather_fetch_node.py,ROS 2 runtime node,,WeatherFetchNode,main,"__future__, pathlib, rclpy, rclpy.node, sensor_msgs.msg, solar_profile, std_msgs.msg, weather_utils",/weather/fetch_status,145,6662,bef650eab4797b7c832c841ba7eaa271ab3cccec171f9b270c69172f9835bb50
mpc_solarcar/weather_utils.py,runtime library/model,,,"_fetch_json, ideal_tracking_poa_wm2, fetch_openmeteo_forecast, write_forecast_csv","__future__, json, numpy, pandas, pathlib, urllib.parse, urllib.request",,129,4484,57e68976c226df0cba2d602f143ef39e76b06be98d08aa8e00fd5514eb83d660
mpc_solarcar/wind_correction_node.py,ROS 2 runtime node,,WindCorrectionNode,"_timestamp_ns, main","__future__, datetime, math, os, pandas, pathlib, rclpy, rclpy.node, statistics, std_msgs.msg","/vehicle/s_km, /weather/headwind_corrected_ms, /weather/headwind_meas_ms, /weather/wind_correction_status",160,7951,065128cbb44604d15e3d04030f00c23607abfa9faf13ebb66e08835897217593
launch/passo_autostart.launch.py,ROS 2 launch entry,,,generate_launch_description,"launch, launch.actions, launch.substitutions, launch_ros.actions",,88,3099,d7784502ec044768fe577e3b25ee824d43c4129c964907dcf04ef5e47abdb519
launch/passo_live.launch.py,ROS 2 launch entry,,,generate_launch_description,"launch, launch.actions, launch.substitutions, launch_ros.actions",,89,3374,79c20866d5b15670a0ab7c8102890207928ece37357d554da4359cb554432e23
launch/solar_measurement.launch.py,ROS 2 launch entry,,,"_cfg_path, _setup, generate_launch_description","__future__, launch, launch.actions, launch.substitutions, launch_ros.actions, mpc_solarcar.solar_profile",,104,3816,070ba41b225288b85a317c3c102783d85d9df6fe189953a54ec69bf327569752
launch/solar_race_live.launch.py,ROS 2 launch entry,,,"_setup, generate_launch_description","__future__, launch, launch.actions, launch.substitutions, mpc_solarcar.live_launch, mpc_solarcar.solar_profile",,23,745,5b7604b18712958285819b64c5a5dcd7b3206c77f32136a4ac97e3a43263476f
launch/solar_race_live_wifi.launch.py,ROS 2 launch entry,,,"_setup, generate_launch_description","__future__, launch, launch.actions, launch.substitutions, launch_ros.actions, mpc_solarcar.live_launch, mpc_solarcar.solar_profile",,68,2413,3984d29932f64e9bf5348a5bcb6fe28f4c0aa1dc5eb664b75b5b06d50b9f7a16
launch/solarcar_sim.launch.py,ROS 2 launch entry,,,"_cfg_path, _setup, generate_launch_description","__future__, launch, launch.actions, launch.substitutions, launch_ros.actions, mpc_solarcar.solar_profile",,153,6441,b674b3680c605030b54de4c2667bfa8ca8e409fbce6f6a970953bfa63f954da2
scripts/adopt_conditional_identification_candidate.py,vehicle identification tool,,,"load_yaml, main","__future__, argparse, copy, datetime, pathlib, yaml",,123,5334,39b468fb90e3d983d1a842cbb123e311e0d5391ca4ddd637f42089dedf7d0503
scripts/analyze_magnetic_coupler_thesis_claim.py,operations/support script,Audit campaign independence and quantify thesis-level magnetic-coupler evidence.,,"parse_args, canonical_design_hash, add_design_hashes, safe_spearman, clopper_pearson_upper_zero, failure_flags, representative_unique_designs, build_statistics, write_failure_summary, plot_evidence, write_report, main","argparse, hashlib, json, math, matplotlib, matplotlib.pyplot, numpy, pandas, pathlib, scipy",,332,14092,50212d68e5b296d96dee69b1f7f269be318fc7508ff2b862aafe178fd0a7ec0b
scripts/assess_terminal_soc_consistency.py,operations/support script,,,"resolve, summarize_channels, random_effects_fusion, terminal_loaded_state_soc, _soc_from_ocv, _fit_terminal_thevenin_arrays, fit_terminal_thevenin_window, day_net_energy_soc, main","__future__, argparse, math, numpy, os, pandas, pathlib, scipy.optimize, scripts.build_bwsc2025_fitted_package, scripts.run_vehicle_identification, sys, typing, yaml",,582,25779,5f74826985378e9fb257dae29ddfcf2283f67082a62d92b7863b271fb7ae2ec8
scripts/audit_bwsc2025_weather_power_timestep.py,operations/support script,"Build a reproducible audit of BWSC weather, 70 km/h load, and sim time steps.",,"parse_args, resolve, q, weather_day_summary, weather_hour_summary, observed_70_summary, physics_70, compare_pv_temporal_semantics, time_step_summary, sampled_fullsim_weather_by_day, make_figures, write_tex, main","__future__, argparse, json, math, matplotlib, matplotlib.pyplot, numpy, pandas, pathlib, scripts.build_bwsc2025_fitted_package, sys, yaml",,579,25696,2614f4f9d06e74e8448ee9ebbe605efca861387da680eb268d12434956b18553
scripts/audit_identification_residuals.py,vehicle identification tool,Audit replay residual structure and long-horizon SoC divergence.,,"parse_args, rmse, clean_power_rows, all_clean_power_residual, regime_metrics, weather_and_cruise_metrics, align_soc, threshold_crossings, plot_audit, run_audit, main","__future__, argparse, json, matplotlib, matplotlib.pyplot, numpy, pandas, pathlib",,358,15494,016216ed9120e8c4f7a80c30b142c3636610ec1789af9133552150d8af46bd2b
